               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087408,            0.040395,            0.013685,             0.29301,             0.31109,             0.22331,            0.063308,            0.065776,            0.021215,           0.0021398,           0.0033241,           0.0033241,            0.070083
                   1,            0.065799,            0.033054,           0.0019018,             0.39904,             0.40137,             0.33113,             0.10121,            0.061017,            0.018878,           0.0015771,            0.006656,            0.006656,            0.040082
                   2,            0.062699,            0.030523,            0.001851,             0.39536,             0.46712,              0.3396,            0.099025,            0.059131,            0.018399,           0.0017035,           0.0099819,           0.0099819,            0.010074
                   3,            0.057962,            0.030968,           0.0015415,             0.48305,             0.47596,             0.45654,             0.16377,             0.05333,             0.01884,           0.0012878,             0.00998,             0.00998,             0.00998
                   4,            0.055296,            0.034243,           0.0010334,             0.49917,              0.4632,             0.43331,             0.16013,            0.051592,            0.019597,          0.00077734,             0.00998,             0.00998,             0.00998
                   5,             0.05288,            0.032243,          0.00078784,             0.58809,             0.50736,             0.51755,             0.19961,            0.047993,            0.018807,          0.00060026,           0.0099645,           0.0099645,           0.0099645
                   6,            0.050458,            0.032621,          0.00060886,             0.51151,             0.56722,             0.52422,             0.21073,            0.048514,            0.018516,          0.00048045,           0.0099446,           0.0099446,           0.0099446
                   7,            0.050267,             0.03042,          0.00053086,             0.54884,             0.50736,             0.50244,             0.21029,            0.048569,            0.018515,          0.00054026,           0.0099203,           0.0099203,           0.0099203
                   8,            0.048985,            0.031018,          0.00048612,             0.67842,             0.53876,             0.59153,             0.24562,            0.046809,            0.018402,          0.00043278,           0.0098916,           0.0098916,           0.0098916
                   9,             0.04857,            0.031249,           0.0004544,             0.62444,             0.56526,             0.59645,             0.25585,            0.046145,            0.018034,          0.00043081,           0.0098586,           0.0098586,           0.0098586
                  10,            0.046255,            0.030333,          0.00044364,             0.56626,             0.48871,             0.50264,             0.20447,            0.048818,            0.019137,          0.00038735,           0.0098213,           0.0098213,           0.0098213
                  11,            0.046947,            0.032477,          0.00035452,              0.6501,             0.53582,             0.59003,             0.23499,             0.04733,            0.017985,          0.00031352,           0.0097798,           0.0097798,           0.0097798
                  12,            0.046528,            0.030586,          0.00044127,             0.63282,             0.57213,             0.59199,             0.26416,            0.046516,             0.01791,          0.00032791,            0.009734,            0.009734,            0.009734
                  13,            0.045326,            0.029218,          0.00035741,              0.5654,             0.53386,             0.54266,             0.22587,            0.046744,             0.01838,          0.00036523,            0.009684,            0.009684,            0.009684
                  14,             0.04509,             0.03141,          0.00034362,             0.62388,             0.53582,             0.56084,             0.24375,             0.04582,            0.018246,          0.00029279,           0.0096299,           0.0096299,           0.0096299
                  15,            0.043649,             0.02927,          0.00030425,             0.62276,             0.57349,             0.56819,             0.24582,            0.045782,            0.018273,          0.00031223,           0.0095717,           0.0095717,           0.0095717
                  16,            0.044358,            0.030103,          0.00036601,             0.64092,             0.56133,             0.57329,             0.24472,            0.045322,            0.018363,          0.00028975,           0.0095095,           0.0095095,           0.0095095
                  17,            0.043203,            0.029971,          0.00030601,             0.58563,             0.57311,             0.57175,             0.25583,            0.044583,            0.018524,          0.00025842,           0.0094434,           0.0094434,           0.0094434
                  18,            0.042878,            0.028968,          0.00025776,             0.65506,             0.59449,             0.61486,             0.26514,            0.045208,            0.018124,          0.00026879,           0.0093733,           0.0093733,           0.0093733
                  19,            0.042595,            0.030042,          0.00026449,             0.66616,             0.58096,              0.6221,             0.28282,            0.044448,            0.018001,          0.00026736,           0.0092995,           0.0092995,           0.0092995
                  20,            0.042151,            0.027349,           0.0002853,              0.6293,             0.56232,             0.59355,             0.24721,            0.045613,            0.018403,          0.00028394,           0.0092219,           0.0092219,           0.0092219
                  21,            0.041856,            0.029889,          0.00027936,              0.6348,             0.60214,             0.61618,              0.2746,            0.044726,            0.018401,          0.00025782,           0.0091406,           0.0091406,           0.0091406
                  22,            0.041127,            0.027648,          0.00025539,             0.56478,             0.61138,             0.57371,             0.25214,            0.045178,            0.018124,          0.00024416,           0.0090557,           0.0090557,           0.0090557
                  23,            0.040614,            0.028267,          0.00025156,             0.58987,             0.60746,             0.58464,             0.25105,            0.044446,            0.018044,          0.00021663,           0.0089673,           0.0089673,           0.0089673
                  24,            0.041266,            0.027867,          0.00021592,             0.63364,             0.58783,             0.60092,              0.2618,            0.044181,             0.01813,           0.0002558,           0.0088755,           0.0088755,           0.0088755
                  25,             0.03996,            0.027471,          0.00025149,             0.67222,             0.55152,             0.60517,             0.27412,            0.043716,            0.018361,          0.00021411,           0.0087804,           0.0087804,           0.0087804
                  26,            0.039536,            0.027103,           0.0002165,              0.6791,             0.59274,             0.62153,              0.2753,            0.043877,            0.018138,          0.00021364,            0.008682,            0.008682,            0.008682
                  27,            0.039364,            0.026853,          0.00020478,             0.61021,             0.57605,             0.57061,             0.26409,            0.044258,            0.018559,          0.00020569,           0.0085805,           0.0085805,           0.0085805
                  28,            0.039165,            0.026063,          0.00021061,             0.63085,             0.58193,             0.60067,             0.26947,            0.044019,            0.018388,          0.00020718,           0.0084759,           0.0084759,           0.0084759
                  29,            0.038238,            0.026063,          0.00020652,             0.65486,             0.59961,             0.62172,             0.28107,            0.044251,              0.0182,          0.00019928,           0.0083684,           0.0083684,           0.0083684
                  30,            0.038299,            0.026972,          0.00022401,               0.718,             0.57311,             0.62698,             0.28964,            0.044011,            0.018409,          0.00020578,           0.0082581,           0.0082581,           0.0082581
                  31,             0.03856,            0.026739,          0.00019209,             0.60986,             0.61514,             0.60079,              0.2793,            0.044017,            0.018234,          0.00018409,            0.008145,            0.008145,            0.008145
                  32,            0.038361,            0.027691,          0.00017282,             0.58452,             0.61727,                0.59,             0.26679,            0.044496,            0.018821,          0.00016429,           0.0080294,           0.0080294,           0.0080294
                  33,            0.037843,            0.024781,          0.00023051,             0.66133,             0.57115,             0.60908,              0.2779,            0.044579,            0.018908,          0.00026215,           0.0079112,           0.0079112,           0.0079112
                  34,            0.038104,             0.02633,          0.00018505,             0.64342,             0.59852,             0.62082,             0.27849,            0.044614,            0.018408,          0.00016309,           0.0077907,           0.0077907,           0.0077907
                  35,            0.037805,            0.025531,          0.00018833,             0.62891,             0.58979,             0.60277,             0.28114,            0.043561,            0.018471,           0.0001793,           0.0076679,           0.0076679,           0.0076679
                  36,            0.037026,            0.026991,          0.00019356,             0.66022,             0.60828,              0.6048,             0.28086,            0.043767,            0.018757,          0.00019319,            0.007543,            0.007543,            0.007543
                  37,            0.036472,             0.02493,          0.00015505,             0.63097,             0.58587,             0.59393,             0.26922,            0.043553,            0.018558,          0.00017157,            0.007416,            0.007416,            0.007416
                  38,            0.036778,            0.027111,          0.00018879,             0.66337,               0.579,              0.6146,              0.2953,            0.043057,            0.018684,           0.0002014,           0.0072872,           0.0072872,           0.0072872
                  39,            0.036454,            0.027561,          0.00016391,             0.59988,             0.61795,             0.61252,             0.28806,            0.043325,            0.018621,          0.00017496,           0.0071566,           0.0071566,           0.0071566
                  40,            0.035294,            0.026736,          0.00018199,             0.65473,              0.5769,             0.62301,             0.29387,            0.043008,            0.018753,           0.0001632,           0.0070243,           0.0070243,           0.0070243
                  41,            0.035644,            0.025433,          0.00015262,             0.63509,             0.60844,             0.60441,             0.28341,            0.043242,            0.019128,          0.00015374,           0.0068906,           0.0068906,           0.0068906
                  42,            0.035528,            0.026467,          0.00014025,             0.61641,             0.59961,             0.59812,               0.286,             0.04357,            0.019017,          0.00016685,           0.0067555,           0.0067555,           0.0067555
                  43,            0.034464,            0.026195,          0.00012948,             0.61573,             0.59764,             0.58808,             0.27801,            0.044424,            0.019351,          0.00016605,           0.0066191,           0.0066191,           0.0066191
                  44,            0.034532,            0.024448,          0.00012396,             0.63739,             0.59863,             0.59787,             0.27971,            0.042907,            0.019271,          0.00013047,           0.0064816,           0.0064816,           0.0064816
