               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085301,            0.044046,              0.0131,             0.32049,             0.37782,             0.27999,             0.08809,            0.066311,            0.021906,           0.0020879,           0.0033241,           0.0033241,            0.070083
                   1,            0.066531,            0.032629,            0.001918,             0.34442,             0.44236,              0.3138,             0.10698,            0.064324,            0.017911,           0.0016393,            0.006656,            0.006656,            0.040082
                   2,            0.060737,            0.030138,           0.0019417,             0.28325,              0.3474,             0.22391,            0.061827,            0.062165,            0.018758,           0.0014586,           0.0099819,           0.0099819,            0.010074
                   3,            0.058667,            0.030903,           0.0015217,             0.51669,             0.49264,             0.48534,             0.18782,              0.0528,            0.018624,          0.00098189,             0.00998,             0.00998,             0.00998
                   4,            0.054622,            0.034235,             0.00114,             0.45904,             0.50214,             0.46625,             0.18215,            0.049015,            0.018828,          0.00077975,             0.00998,             0.00998,             0.00998
                   5,            0.053068,            0.032744,          0.00079968,             0.57653,             0.53386,             0.53204,             0.21173,            0.049353,            0.018313,          0.00059712,           0.0099645,           0.0099645,           0.0099645
                   6,            0.051126,             0.03233,          0.00073829,             0.49967,             0.56624,              0.5028,             0.19278,            0.048953,            0.018304,          0.00055639,           0.0099446,           0.0099446,           0.0099446
                   7,            0.049188,            0.030478,          0.00056471,             0.53005,             0.58685,             0.53741,             0.21682,            0.047936,            0.018667,          0.00042184,           0.0099203,           0.0099203,           0.0099203
                   8,            0.048172,            0.030726,          0.00050209,             0.58484,             0.56543,             0.56645,             0.23406,            0.046877,            0.018524,          0.00037391,           0.0098916,           0.0098916,           0.0098916
                   9,             0.04837,            0.031492,          0.00042928,             0.62533,             0.53484,              0.5755,             0.23533,            0.046564,            0.018418,           0.0004058,           0.0098586,           0.0098586,           0.0098586
                  10,            0.046264,            0.030065,          0.00045355,             0.59445,             0.59176,             0.59738,             0.25669,            0.047092,            0.018158,          0.00038737,           0.0098213,           0.0098213,           0.0098213
                  11,            0.046459,            0.031951,          0.00039737,              0.6065,             0.58979,             0.61475,             0.26168,            0.046055,            0.018008,          0.00044431,           0.0097798,           0.0097798,           0.0097798
                  12,            0.045473,            0.030987,          0.00046355,             0.66547,              0.5466,             0.60684,             0.26428,            0.045172,            0.017981,          0.00031242,            0.009734,            0.009734,            0.009734
                  13,            0.044985,            0.028826,          0.00037818,             0.65877,             0.52797,             0.58186,             0.25632,            0.045612,            0.018096,          0.00041164,            0.009684,            0.009684,            0.009684
                  14,            0.044154,             0.03069,          0.00033511,             0.57727,             0.60353,             0.59437,             0.25665,            0.044464,            0.018187,          0.00031684,           0.0096299,           0.0096299,           0.0096299
                  15,            0.042936,            0.028031,          0.00035069,             0.61755,             0.57997,             0.57718,             0.24523,            0.046375,            0.018693,          0.00034844,           0.0095717,           0.0095717,           0.0095717
                  16,            0.043333,             0.02941,          0.00034517,             0.67365,             0.54367,             0.59884,             0.26678,            0.045429,            0.018195,          0.00030674,           0.0095095,           0.0095095,           0.0095095
                  17,            0.042792,            0.029326,          0.00029865,             0.62933,             0.59961,             0.59754,             0.26118,            0.045036,            0.018453,          0.00032936,           0.0094434,           0.0094434,           0.0094434
                  18,             0.04271,            0.028274,          0.00034628,             0.62635,             0.59568,             0.60156,             0.26569,            0.045128,            0.018308,          0.00034098,           0.0093733,           0.0093733,           0.0093733
                  19,            0.041512,            0.029724,          0.00032155,             0.63449,             0.60647,             0.61903,             0.27913,            0.044501,            0.018105,          0.00027977,           0.0092995,           0.0092995,           0.0092995
                  20,             0.04098,            0.026827,          0.00029065,              0.6549,             0.60353,             0.61827,             0.28005,            0.044347,            0.017683,          0.00030737,           0.0092219,           0.0092219,           0.0092219
