               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10306,            0.037025,             0.01907,             0.14502,             0.18253,            0.065083,            0.012609,            0.084471,            0.024975,           0.0089261,              0.0009,              0.0009,              0.0919
                   1,            0.076159,            0.039491,           0.0050652,             0.42583,             0.34571,             0.30218,             0.09731,            0.065515,            0.022369,           0.0019676,           0.0018096,           0.0018096,             0.08371
                   2,            0.066722,            0.033346,           0.0015595,             0.30246,             0.35623,             0.25825,            0.079595,            0.060241,             0.02168,          0.00088598,           0.0027176,           0.0027176,            0.075518
                   3,            0.062263,            0.033572,           0.0011292,             0.43289,             0.38665,             0.38111,             0.14098,            0.056548,            0.019933,          0.00086565,           0.0036228,           0.0036228,            0.067323
                   4,            0.057136,            0.030049,          0.00099738,             0.54404,             0.50147,             0.50363,             0.20492,            0.053203,            0.018728,          0.00082649,           0.0045239,           0.0045239,            0.059124
                   5,            0.057286,            0.030245,          0.00098614,             0.50195,             0.49853,             0.47593,             0.18413,            0.051074,            0.018615,          0.00096684,           0.0054198,           0.0054198,             0.05092
                   6,            0.056473,            0.033532,           0.0010877,             0.45615,             0.47328,              0.4226,             0.15225,            0.053624,             0.01845,          0.00091825,           0.0063093,           0.0063093,            0.042709
                   7,            0.054265,            0.031218,           0.0010099,             0.50616,             0.47878,             0.44544,             0.16739,            0.052897,            0.018911,           0.0010019,           0.0071912,           0.0071912,            0.034491
                   8,            0.051527,            0.028377,          0.00088432,             0.47123,             0.50812,              0.4462,             0.16924,            0.052147,            0.018804,          0.00074086,           0.0080644,           0.0080644,            0.026264
                   9,            0.053362,            0.029974,          0.00087587,             0.51968,             0.49657,             0.47451,             0.18274,            0.051123,            0.018169,          0.00085279,           0.0089276,           0.0089276,            0.018028
                  10,            0.051621,             0.02842,           0.0008698,             0.54853,             0.45437,             0.47896,             0.18875,            0.051861,            0.018331,          0.00077266,           0.0097798,           0.0097798,           0.0097798
                  11,            0.053064,            0.033163,           0.0007756,             0.51161,             0.49755,             0.46189,             0.16599,            0.054696,            0.018037,           0.0006559,           0.0097798,           0.0097798,           0.0097798
                  12,              0.0501,            0.029683,          0.00067697,             0.58766,             0.45339,             0.47804,             0.17772,            0.050751,            0.018377,          0.00060402,            0.009734,            0.009734,            0.009734
                  13,            0.049917,            0.032169,          0.00053694,             0.55988,             0.50434,             0.50791,             0.20297,            0.050229,            0.018092,          0.00050175,            0.009684,            0.009684,            0.009684
                  14,            0.048329,            0.034691,          0.00046087,             0.52298,             0.43474,             0.40997,             0.15524,            0.053963,            0.019042,          0.00046182,           0.0096299,           0.0096299,           0.0096299
                  15,            0.047363,            0.026829,          0.00042377,             0.56487,              0.5368,             0.55036,             0.22873,            0.049966,            0.018641,          0.00037784,           0.0095717,           0.0095717,           0.0095717
                  16,            0.047006,            0.032136,          0.00038909,             0.54717,              0.5682,             0.56503,             0.24193,             0.04823,            0.017612,           0.0004426,           0.0095095,           0.0095095,           0.0095095
                  17,            0.046973,            0.029616,          0.00036184,             0.53738,             0.57605,             0.51719,              0.2148,            0.048071,             0.01818,          0.00036075,           0.0094434,           0.0094434,           0.0094434
                  18,             0.04578,            0.029824,          0.00035101,               0.547,             0.58391,             0.54206,             0.22124,            0.048266,            0.018287,          0.00037799,           0.0093733,           0.0093733,           0.0093733
                  19,            0.045141,            0.033216,          0.00032306,               0.632,             0.55839,             0.56777,             0.23086,            0.048694,            0.017958,          0.00035388,           0.0092995,           0.0092995,           0.0092995
